slug,name,name_ar,category,default_unit,grams_per_piece,allergens,possible_allergens,aliases,staple,perishable
crab,crab,كابوريا,protein,g,,shellfish,,kabouria|كابوريا|سلطعون,0,1
cream,cooking cream,كريمة طهي,dairy,ml,,dairy,,heavy cream|double cream|krema|كريمه|crema|kraima,0,1
cream-caramel,cream caramel mix,كريم كراميل,pantry,g,,,dairy,كريم كراميل|cream caramel|كريم كراميل بودرة|creme caramel,0,0
cream-cheese,cream cheese,جبنة كريمي,dairy,g,,dairy,,جبنة كريمي|philadelphia|كيري,0,1
cream-of-mushroom,cream of mushroom soup,شوربة مشروم,sauces,g,,,dairy|gluten,شوربة مشروم|cream of mushroom|شوربة الفطر|mushroom soup,0,0
cream-of-tartar,cream of tartar,كريم أوف تارتار,spices,g,,,,كريم أوف تارتار|cream of tartar|كريمة التارتار,0,0
croissant,croissant,كرواسون,bakery,piece,60,gluten|dairy|eggs,,كرواسون|كروسان,0,1
cucumber,cucumber,خيار,vegetables,piece,100,,,cucumbers|khiar|خيار بلدي|khyar|khiyar,0,1
cumin,cumin,كمون,spices,tsp,2,,,kamoun|كمون مطحون|kammoun|kamon|كمون حب|whole cumin,1,0
curry-powder,curry powder,كاري,spices,g,,,,كاري|curry,1,0
custard-powder,custard powder,كسترد,pantry,g,,dairy,,كسترد|كاسترد|custard|custard mix|بودرة كسترد|kastard,0,0
date-syrup,date syrup,دبس التمر,sauces,ml,,,,دبس تمر|date molasses,0,0
dates,dates,تمر,fruit,piece,8,,,balah|tamr|بلح,0,0
dill,dill,شبت,vegetables,g,,,,shabat|شبت|شبنت,0,1
dried-apricot,qamar el din,قمر الدين,fruit,g,,,,قمر الدين|مشمش مجفف|amar el din,0,0
duck,duck,بط,protein,g,,,,بطة|لحم بط|batt|bat,0,1
dukkah,dukkah,دقة,spices,tbsp,10,nuts|sesame,,duqqa|دقه|da2a|dokka,0,0
edamame,edamame,إدامامي,protein,g,,soy,,ادامامي|edamame beans,0,1
egg-white,egg whites,بياض بيض,dairy,piece,33,eggs,,بياض البيض|egg white|bayad beid|bayad el beid,0,1
egg-yolk,egg yolks,صفار بيض,dairy,piece,17,eggs,,صفار البيض|egg yolk|safar beid|safar el beid,0,1
eggplant,eggplant,باذنجان,vegetables,piece,220,,,aubergine|betingan|بتنجان,0,1
eggs,eggs,بيض,protein,piece,55,eggs,,egg|beid|بيضة|بيضه|bed|beed,0,1
evaporated-milk,evaporated milk,لبن مبخر,dairy,ml,,dairy,,لبن مبخر|evaporated milk|لبن مركز غير محلى,0,0
falafel-mix,falafel mix,دقيق طعمية,protein,g,,,,taameya mix|طعمية|دقيق الطعمية,0,0
fava-beans,fava beans,فول,pantry,g,,,,foul|ful|ful medames|foul medames|فول مدمس|broad beans|broad bean|fava|fool|fool medames|فول حمام|foul hamam,1,0
fennel-seed,fennel seeds,شمر,spices,g,,,,شمر|fennel|shamar|shammar,1,0
fenugreek,fenugreek,حلبة,spices,g,,,,حلبة|helba|hilba|7elba,1,0
figs,figs,تين,fruit,piece,50,,,fig|تين|teen,0,1
fish-spice,fish spice mix,تتبيلة سمك,spices,g,,,,تتبيلة سمك|fish spice|بهارات سمك|fish seasoning,0,0
flaxseed,flaxseed,بذر الكتان,pantry,g,,,,بذرة الكتان|linseed,0,0
flour,flour,دقيق,pantry,g,,gluten,,all purpose flour|plain flour|دقيق فاخر|da2ee2|dakik|da2ik|دقيق كيك|cake flour,1,0
food-colouring,food colouring,ألوان طعام,pantry,ml,,,,ألوان طعام|لون طعام|food coloring|food dye|صبغة طعام|alwan taam|الوان الطعام,0,0
freekeh,freekeh,فريك,carbs,g,,gluten,,فريك|frikeh|farik,0,0
fried-onions,fried onions,بصل مقلي,vegetables,g,,,gluten,بصل مقلي|crispy onions|بصل محمر|basal me2li|fried onion,0,0
frozen-fries,frozen fries,بطاطس مجمدة,frozen,g,,,,بطاطس محمرة|french fries|شيبسي,0,0
frozen-mixed-veg,frozen mixed vegetables,خضار مشكل مجمد,frozen,g,,,,خضار مجمد|mixed veg,0,0
garlic,garlic,ثوم,vegetables,clove,5,,,toum|tom|garlic cloves|فص ثوم|thoum|tuum|fass toum,1,0
garlic-powder,garlic powder,ثوم بودرة,spices,g,,,,ثوم بودرة|garlic granules|toum bodra|thoum bodra,1,0
garlic-sauce,garlic sauce,طومية,sauces,g,,,,طومية|toumeya|tomeya|طوميه|ثومية|garlic dip|toumia,0,0
gelatin,gelatin,جيلاتين,pantry,g,,,,جيلاتين|jelly powder,0,0
ghee,ghee,سمنة,dairy,g,,dairy,,samna|سمنة|clarified butter|سمن|samna baladi|samna balady,0,0
ginger,ginger,زنجبيل,vegetables,g,,,,زنجبيل|ganzabeel|root ginger|zangabeel|ganzabil,0,1
ginger-ground,ground ginger,زنجبيل مطحون,spices,g,,,,زنجبيل مطحون|zangabeel matehoun|ganzabeel matehoun,1,0
goose,goose,وزة,protein,piece,2500,,,وزة|إوزة|wezza|goose|وز,0,1
grapes,grapes,عنب,fruit,g,,,,عنب|enab|grape,0,1
green-beans,green beans,فاصوليا خضراء,vegetables,g,,,,فاصوليا خضراء|french beans|fasolia khadra|fasolya khadra|لوبيا خضراء|string beans,0,1
green-fava-beans,green fava beans,فول أخضر,vegetables,g,,,,فول اخضر|fool akhdar|ful akhdar|foul akhdar|green broad beans|فول بلدي أخضر,0,1
green-lentils,green lentils,عدس أخضر,protein,g,,,,عدس اخضر|brown lentils|عدس بجبة,0,0
green-onion,green onion,بصل أخضر,vegetables,bunch,80,,,scallion|spring onion|بصل اخضر|bassal akhdar|basal akhdar|basal akhder|ورق بصل|onion greens,0,1
green-peas,green peas,بسلة,frozen,g,,,,peas|besella|بسله,0,0
ground-beef,ground beef,لحمة مفرومة,protein,g,,,,minced beef|mince|minced meat|kofta meat|لحمة مفرومه|مفروم|lahma mafrooma|lahma mafroma|lahm mafroom,0,1
guava,guava,جوافة,fruit,piece,120,,,جوافة|gawafa|guavas|goafa|gwafa|guafa,0,1
halloumi,halloumi,حلومي,dairy,g,,dairy,,حلومي|halloum|haloumi|gebna halloumi,0,1
halva,halva,حلاوة طحينية,pantry,g,,sesame,,حلاوة|halawa|halaweh|halawa tehiniya|tahini halva|حلاوه طحينيه|halvah|حلاوة بالمكسرات|halawa with nuts,0,0
hazelnuts,hazelnuts,بندق,pantry,g,,nuts,,بندق|bondok|hazelnut,0,0
herring,herring,رنجة,protein,g,,fish,,renga|رنجة|ringa,0,1
hibiscus,hibiscus,كركديه,spices,g,,,,كركديه|karkade|karkadeh|karkadeeh,0,0
honey,honey,عسل,pantry,tbsp,21,,,asal|عسل نحل|assal|asal nahl|asal abyad,0,0
hot-dog,hot dog sausage,هوت دوج,protein,piece,50,,,hotdog|frankfurter|هوت دوج,0,1
hot-sauce,hot sauce,صوص حار,sauces,ml,,,,شطة سائلة|tabasco|صوص حار,0,0
hummus-dip,hummus,حمص بالطحينة,sauces,g,,sesame,,hummus dip,0,1
ice,ice,ثلج,other,g,,,,ثلج|ice cubes|مكعبات تلج|ice cubes,0,0
ice-cream,ice cream,آيس كريم,frozen,g,,dairy,,ايس كريم|آيس كريم|gelato,0,0
icing-sugar,icing sugar,سكر بودرة,pantry,g,,,,سكر بودرة|powdered sugar,0,0
jam,jam,مربى,pantry,g,,,,مربى|meraba|mrabba|marmalade|مربي|meraba faraola,0,0
kashkaval,kashkaval,جبنة قشقوان,dairy,g,,dairy,,قشقوان|kashkawan|kashkawal|gebna kashkawan,0,1
ketchup,ketchup,كاتشب,sauces,ml,,,,كاتشب|catsup|كتشب|هاينز|heinz ketchup|هاينز كاتشب,0,0
kidney,kidney,كلاوي,protein,g,,,,كلاوي|kalawi|kidneys|كلاوى|lamb kidney,0,1
kidney-beans,kidney beans,فاصوليا حمراء,protein,g,,,,red beans|فاصوليا حمراء|rajma,0,0
kishk,kishk,كشك,dairy,g,,dairy|gluten,,كشك|kishk|كشك مصري|keshk,0,0
kiwi,kiwi,كيوي,fruit,piece,80,,,كيوي|kiwifruit,0,1
kofta,kofta,كفتة,protein,g,60,,,kufta|كفتة|كفته,0,1
kofta-spice,kofta spice,بهارات كفتة,spices,g,,,,بهارات كفتة|kofta spice|تتبيلة كفتة|kofta seasoning,0,0
kunafa-dough,kunafa dough,عجينة كنافة,bakery,g,,gluten,,كنافة|kunafa|konafa|عجينة كنافة|kunafa pastry|كنافه,0,1
labneh,labneh,لبنة,dairy,g,,dairy,,لبنة|labne|labna|lebna,0,1
lamb,lamb,لحم ضاني,protein,g,,,,mutton|lamb meat|ضاني|لحم غنم|خروف|خروف العيد|eid lamb|لحم ضاني مفروم|minced lamb,0,1
lamb-chops,lamb chops,ريش ضاني,protein,g,90,,,chops|riyash|ريش|ريش لحم,0,1
lamb-shank,lamb shank,موزة ضاني,protein,piece,350,,,موزة ضاني|moza|moza dani|shank|shanks|lamb shanks|beef shank|موزه ضاني,0,1
lasagne-sheets,lasagne sheets,شرائح لازانيا,carbs,g,,gluten,,lasagna|لازانيا,0,0
leek,leek,كرات,vegetables,g,120,,,كرات|korrat|leeks,0,1
lemon,lemon,ليمون,fruit,piece,60,,,lemons|lime|lamoun|ليمون أخضر|lamon|limon|lemoon,0,1
lemon-juice,lemon juice,عصير ليمون,pantry,ml,,,,عصير الليمون|lime juice,0,1
lentils,red lentils,عدس,pantry,g,,,,lentil|ads|عدس أصفر|عدس احمر|adas|ads asfar|عدس أحمر|ads ahmar|shorbet ads,1,0
lettuce,lettuce,خس,vegetables,piece,350,,,khass|romaine|خس بلدي|khas|khass baladi,0,1
licorice,licorice,عرقسوس,pantry,g,,,,عرقسوس|erksous|ersoos|liquorice|عرق سوس|araksous,0,0
liver,beef liver,كبدة,protein,g,,,,kebda|كبده|كبدة اسكندراني|كبدة ضاني|lamb liver,0,1
luncheon-meat,luncheon meat,لانشون,protein,g,20,,,luncheon|لانشون|لحم بارد,0,1
lupini-beans,lupini beans,ترمس,pantry,g,,,,ترمس|termis|tirmis|termes|lupin|lupini|termos|ترمس محلى|brined termis,0,0
mackerel,mackerel,ماكريل,protein,g,250,fish,,ماكريل|scomber|سمك ماكريل,0,1
mahlab,mahlab,محلب,spices,g,,,,محلب|mahaleb|mahlep|محلب مطحون|mahlab powder,1,0
mallow,mallow,خبيزة,vegetables,g,,,,خبيزة|khobeza|khobbeza|mallow|خبيزه,0,1
mandarin,mandarins,يوسفي,fruit,piece,90,,,tangerine|يوسفي|مندرين,0,1
mango,mango,مانجو,fruit,piece,250,,,مانجو|manga|mangoes|مانجو مجمد|mango pulp,0,1
marjoram,marjoram,بردقوش,spices,g,,,,بردقوش|bardakoosh|bardaqush|مردقوش|bardaqoosh,0,0
marrow-bones,marrow bones,عضم بالمخ,protein,g,,,,عضم بالمخ|marrow bones|عضم سبح|beef bones|عظم نخاع,0,1
mastic,mastic,مستكة,spices,g,,,,مستكة|مستكه|mastika|mistika|gum mastic|mastic gum,1,0
mayonnaise,mayonnaise,مايونيز,sauces,g,,eggs,,مايونيز|mayo|mayonez|mayoneez,0,1
melon,melon,شمام,fruit,g,,,,cantaloupe|شمام|كانتالوب|shammam|shamam|cantaloup,0,1
milk,milk,لبن,dairy,ml,,dairy,,laban|full cream milk|حليب|halib|laban halib|skimmed milk|skim milk|لبن خالي الدسم|لبن نصف دسم,0,1
mint,mint,نعناع,vegetables,g,,,,naana|نعناع|نعنع|na3na3|naanaa|nanaa|نعناع ناشف,0,1
mish-cheese,mish cheese,مش,dairy,g,,dairy,,مش|mesh|gebna mesh|جبنة مش|fermented cheese|mish,0,0
mixed-spice,mixed spice,بهارات مشكلة,spices,g,,,,بهارات|mixed spices|seven spices|baharat|baharat meshakela|سبع بهارات,1,0
molasses,black molasses,عسل أسود,sauces,g,,,,عسل اسود|asal eswed|treacle|dibs|assal aswad|asal aswad|دبس,0,0
molokhia,molokhia,ملوخية,vegetables,g,,,,mulukhiyah|jute leaves|ملوخيه|ملوخية مفرومة|عيدان الملوخية|molokhia stems,0,1
mozzarella,mozzarella,موتزاريلا,dairy,g,,dairy,,mozarella|pizza cheese|جبنة موتزاريلا|جبنه موزاريلا|gebna mozzarella|moozarella,0,1
mullet,mullet,بوري,protein,piece,300,fish,,bouri|بوري|grey mullet,0,1
mushroom,mushrooms,مشروم,vegetables,g,20,,,mushroom|عيش الغراب|مشروم|champignon,0,1
mussels,mussels,بلح البحر,protein,g,,shellfish,,بلح البحر|mussel|balah el bahr|balah bahr,0,1
mustard,mustard,مسطردة,sauces,g,,,,مسطردة|خردل|dijon,0,0
mustard-seed,mustard seeds,حب الخردل,spices,g,,,,خردل حب|mustard seeds|hab khardal|hab el khardal,1,0
nigella,nigella seeds,حبة البركة,spices,g,,,,حبة البركة|black seed|حبة بركة,1,0
nile-perch,nile perch,بياض,protein,g,,fish,,بياض|bayad|nile perch|سمك بياض,0,1
noodles,noodles,نودلز,carbs,g,,gluten,,نودلز|instant noodles|indomie|اندومي|اندومى|noodle,0,0
nori,nori,نوري,pantry,g,,,,نوري|seaweed|nori sheets|أوراق نوري|sushi seaweed|ورق نوري,0,0
nutmeg,nutmeg,جوزة الطيب,spices,g,,,,جوزة الطيب|جوز الطيب|gozet el teeb|goz el teeb,1,0
oats,oats,شوفان,carbs,g,,gluten,,oatmeal|rolled oats|شوفان مجروش,0,0
octopus,octopus,أخطبوط,protein,g,,shellfish,,أخطبوط|octopus|اخطبوط,0,1
okra,okra,بامية,vegetables,g,,,,bamya|lady fingers|باميه,0,1
olive-oil,olive oil,زيت زيتون,sauces,ml,,,,zeit zeitoun|extra virgin olive oil|زيت الزيتون|zeit zaytoun|zait zeitoun,1,0
olives,olives,زيتون,vegetables,g,5,,,zeitoun|زيتون|green olives|black olives|زيتون محشي|stuffed olives,0,0
onion-powder,onion powder,بصل بودرة,spices,g,,,,بصل بودرة|basal bodra|bassal bodra,1,0
onions,onions,بصل,vegetables,piece,110,,,onion|basal|بصل أحمر|بصل أبيض|bassal|basal ahmar,1,0
orange-blossom,orange blossom water,ماء زهر,pantry,ml,,,,ماء الزهر|mazaher,0,0
oranges,oranges,برتقال,fruit,piece,180,,,orange|برتقال|برتقاله,0,1
oregano,oregano,أوريجانو,spices,g,,,,اوريجانو|زعتر بري,1,0
orzo,orzo,لسان عصفور,carbs,g,,gluten,,لسان عصفور|orzo|lesan asfour|lisan asfour|risoni,0,0
oyster-sauce,oyster sauce,صوص المحار,sauces,ml,,shellfish,,صوص المحار|صوص محار|oyster sauce|سوس المحار,0,0
oysters,oysters,محار,protein,g,,shellfish,,محار|oysters|oyster,0,1
paprika,paprika,بابريكا,spices,tsp,2,,,sweet paprika|فلفل أحمر مطحون|felfel ahmar matehoun|bapreka,0,0
parmesan,parmesan,جبنة بارميزان,dairy,g,,dairy,,parmigiano|بارميزان|بارمزان|gebna parmesan|barmezan,0,1
parsley,parsley,بقدونس,vegetables,bunch,60,,,ba2dounes|بقدونس أخضر|baadounes|ba2dunes|ba2dones,0,1
pasta,pasta,مكرونة,carbs,g,,gluten,,macaroni|spaghetti|penne|makarona|مكرونه|macarona|makaroni|بيني|penne,1,0
pastrami,basterma,بسطرمة,protein,g,,,,basterma|pastirma|بسطرمه|بسطرمة,0,1
peach,peaches,خوخ,fruit,piece,150,,,peach|خوخ|khokh|khoukh,0,1
peanut-butter,peanut butter,زبدة فول سوداني,pantry,tbsp,16,peanuts,,pb|زبده فول سوداني,0,0
peanuts,peanuts,فول سوداني,pantry,g,,peanuts,,فول سوداني|sudani|peanut,0,0
pear,pears,كمثرى,fruit,piece,170,,,pear|كمثرى|كمترى,0,1
pesto,pesto,بيستو,sauces,g,,nuts|dairy,,بيستو|صوص بيستو|pesto sauce|بستو,0,0
phyllo,filo pastry,عجينة جلاش,bakery,g,,gluten,,goulash|جلاش|filo|phyllo,0,1
pickles,pickles,مخلل,vegetables,g,,,,torshi|مخلل|طرشي|pickle|mekhalel|mekhalil|مخللات|لفت مخلل|pickled turnip,0,0
pigeon,pigeon,حمام,protein,piece,300,,,hamam|حمام|حمامة,0,1
pine-nuts,pine nuts,صنوبر,pantry,g,,nuts,,صنوبر|snoubar,0,0
pineapple,pineapple,أناناس,fruit,g,,,,اناناس|أناناس|ananas|ananass,0,1
pistachios,pistachios,فستق,pantry,g,,nuts,,فستق|fostok|pistachio,0,0
pita-bread,pita bread,عيش شامي,bakery,piece,80,gluten,,شامي|عيش شامي|pitta|pita|eish shami|aish shami|lebanese bread|عيش شاورما|shawarma bread,0,1
plain-biscuits,plain biscuits,بسكويت,bakery,g,,gluten,dairy|eggs,بسكويت|biscuits|بسكوت|baskaweet|tea biscuits|digestive biscuits,0,0
plum,plums,برقوق,fruit,piece,60,,,plum|برقوق|bargo2|barquq,0,1
